"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","734049.48543521","637073.106912413","375148.376210608","353878.462655777","382823.294051911","416294.139977222","444588.797264799","463945.095060853","503691.760537414","527067.854971101","548839.757163702","603270.142910518","685462.843583974","785675.465168892","872999.287655218","1000192.68128655","1139205.99843305","1303488.89599022","1402592.47568916","1213118.47227658","1248439.47162375","1314411.69880115","1410819.91336265","1458389.70764394","1515002.59791625","1568270.02066831","1577865.90659359","1703549.96435524","1798412.1641967","1939337.25900422","1800312.67685295","1904216.41970766","2139164.9932305","2299907.1248788","",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12705.4782517262","12848.6422916923","12936.0413953325","12928.9789285904","12452.5490474332","12742.1453139201","12466.8625062693","12011.9579311338","12113.4207286159","12186.9022679661","11745.4899153958","11554.2717475836","11876.7066921034","12387.0040470517","12326.5384247296","11611.6775869422","12080.6160132003","12189.0497719532","12841.381805028","12879.6343321483","13342.4351495594","","",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","16578.7166076853","17257.8781348574","18583.8752839406","20026.0412630013","20741.2046702235","20685.3438295902","21744.8486155173","23974.4459172035","25923.2710439535","29044.5889601095","31128.9212773277","32918.1270924037","34810.1065929728","36005.6131671582","36603.088961459","36442.4569902491","37674.6916309635","39434.6453630148","36971.0657144114","38607.280353962","39893.7412917118","40997.0723084572","41793.3646458339","43647.746689449","41028.9342570561","40932.2099906532","42944.6356119357","44939.3412009807","47312.5573099195","52668.1058012009","56799.1775188485","55963.7929370899","48530.7640217172","44124.4725738397","42753.0927118566","43725.0744900298","43065.6113735465","43670.365572016","43982.3731391694","45500.5613044493","46364.2392890304","49338.2530849262","50624.0970185193","40850.554188533","43956.1879392305","47884.6402412753","49480.2606198294","",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","31129.442512254","31273.6811981303","30914.6341463415","32212.602739726","33791.4390615205","35117.2286617492","35141.1037679169","36888.1261123824","38089.1831126655","39928.1578732773","41958.4232829615","42186.5965834428","43037.8690141914","43495.2167414051","44149.8214676091","44192.111135104","44883.7027007767","45976.3951521984","45850.884524307","47195.2597492077","48038.7966240131","48873.9725770375","49631.2395339723","47867.6935261908","49469.1352184434","51391.1810204916","52662.2280072542","53194.8292270341","55344.7207516209","56523.4022995506","57685.3569454621","56737.0375761772","56345.647128623","58106.6150535917","59840.381617602","61477.2149020471","63082.233095216","64845.3346752764","67196.0959574333","69806.6431557626","71718.5979443162","72237.4889239527","74262.6522104661","75682.4149117754","78040.570675696","79528.0966636804","80624.0155110521","82153.1617963875","83411.0499882843","83256.0801152406","83790.6203547154","84623.4542988853","86415.9950979756","87151.7103696542","88089.7793572465","88732.803311388","89768.1513140454","90314.8542154246","91534.8869927155","92150.9782620966","90912.4899100356","92701.1020886097","95411.7756093462","96309.6143178643","",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10720.6903002515","11252.513426165","11479.9795718249","11878.5031777581","12522.2391784125","12874.1157003713","13505.5240018181","13808.1841126332","14351.0172222775","15199.0900004299","16224.9426349181","16978.9064222806","17928.431652338","18701.3095635909","19405.4835625246","19386.2663237674","20309.705803629","21333.2434864298","21305.5463909483","22485.1169459926","22874.419178235","22783.2371698744","23224.8038721228","23953.9763102179","23967.7674896058","24555.1133280502","25104.2643960985","25428.873868486","26229.8190042684","27126.9055052603","28090.8730959839","28768.9828264511","29049.7947315734","28963.007263302","29544.8050293607","30286.6492591225","30915.9600990926","31543.6011185183","32609.579744431","33770.5584758576","34763.9817234234","35087.247878186","35433.317573949","35663.658326872","36352.2867079966","36943.251008255","37962.7457522947","39268.4308950156","39714.6032396098","38190.1609226923","38787.6588288692","39788.8083418229","39856.6437378166","39523.0807293973","39511.784905754","39580.6379465489","39983.9160650262","40609.3873009876","41415.9964101663","41955.8553455437","39142.13046201","40840.8044532497","42587.1298918772","41765.1363192707","",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1599.37544472628","1567.18988351464","1194.80672712864","904.984082297059","716.968584423192","625.100320760978","626.851938683499","656.842305361528","715.701200556047","761.946835363753","839.597060358323","915.595892099813","994.569252136883","1087.82464385907","1178.13082525733","1492.22161978586","1985.10969939478","2453.41068369594","2660.90666864459","2848.51662126534","2956.94515067484","2921.5847301921","2945.4448489767","3076.51773675583","3121.92519852221","3118.70582664661","2988.43213007178","2965.16969244978","2983.68676702914","3032.49542136829","2882.30496790834","3030.78691031047","3172.42891664915","3204.23104960647","",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","160271.041559797","134784.796239593","143319.200905932","146135.419101561","150941.331107948","152647.452596274","155888.193389601","172987.014566651","168405.470530445","162383.047131498","192780.032106552","193319.257175747","180947.213438396","193687.831785849","187524.468164673","184206.576026204","194432.521203433","211240.202425857","203294.896684127","201605.908548292","195235.549731209","210239.23347585","202897.258348482","204871.616136997","200278.13344051","219093.03080904","222007.918194944","228941.868296103","235192.152649783","233731.845881339","236917.713814011","243662.015211812","239630.053476995","231863.047612907","221538.341599208","192140.236397181","176647.007531168","173851.608489694","178663.872862733","172671.80763292","167672.219905616","166884.797957303","169458.24009559","162179.350714183","163797.448382197","159245.602420572","161928.47109044","161436.203254302","162442.976581295","160305.958684552","160813.621987184","161418.957729684","162686.455146386","164675.025894834","165929.202692461","155881.353563405","152300.947617459","149506.694828658","147395.947913587","145219.890193137","141518.263092853","141984.149427237","140748.98554526","140659.707606953","",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10559.432862926","11048.361756383","11578.0240326204","11991.8635445851","12705.2762182703","13038.7191616614","13359.6623382349","13799.4057429426","14321.7193723238","15228.0383972687","16179.4627110276","16793.7141960405","17613.9339303468","18679.1345881425","19470.5280238189","19032.6689930311","20072.6406101631","20173.4010094037","20727.3605640267","21193.5453965941","22111.0157352867","22049.8448014207","22187.067402453","22258.0243356008","22807.3349235321","23177.1601171317","23591.2132067266","24114.8149071238","25173.6470758854","25952.5193815026","26687.0453105074","27075.4410571418","27378.5683609954","27009.5054031072","27795.2980163417","28398.6088918892","28717.7100057824","29735.1218834239","30253.8058384351","31253.9002166839","32336.9973417876","32580.3227898123","32988.2265042774","33191.3853648561","34228.2614651357","34830.8351187948","35485.0188064837","36520.6071129431","36395.1674761458","35415.2150147275","36044.2541594367","36265.4277882826","36118.9970371656","36058.9769689375","36533.0712476527","36857.439767767","37108.9751136265","37511.3520181434","38042.2462342438","38761.5183419242","36744.9735687263","38863.8065387299","40183.018284774","40315.928256753","",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","387783.442942121","393410.73943146","373303.313128513","383850.179802692","401643.478502058","414635.768342703","420858.877731258","416708.814767297","423686.043485625","426578.452596239","426030.163941486","410321.046125597","426781.722396239","432360.871278662","436283.682994844","404957.719479876","398500.845224897","407852.584399103","402408.891390029","417457.200392403","433648.245169545","463465.744852979","460340.346403644","427731.92072967","448351.992455562","468078.36147194","464185.76765296","443647.528788088","445007.430615293","419280.778330138","443089.322063005","447785.599489768","447003.86571788","452560.679999986","444755.263309837","461774.639833506","469300.92096852","481779.237699869","485656.744550289","496012.890810528","509159.372711299","520180.251520496","528033.102006325","529812.449529702","536598.18112158","528493.222997376","532457.396216509","547899.596257258","557632.872028786","553708.568858489","548790.281259964","548476.795695659","558055.819690917","580805.902864868","599744.660110731","592641.761528204","594782.182901769","610665.348619327","633486.007611674","658712.137956612","666091.048769147","695488.007052938","720391.516160361","747070.266842246","",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","144354.539123316","148035.915716766","154827.061556136","150600.055244459","151686.541851228","154898.24348276","153200.855938783","163950.801447821","166107.02491066","166566.587550155","163874.485856738","163346.161768774","164266.098750283","162082.168832599","172221.827285547","173846.246540706","184686.251023981","181099.861496836","184781.075101988","186655.564960053","183160.507793722","185809.904133891","198032.545284548","193166.759791814","184332.910470268","194340.250639536","203964.436694473","197990.292533772","203911.553928173","202838.715202874","196372.902690975","208819.945123981","204205.594616417","206085.289665532","203596.272476002","209786.261575115","227009.674010988","235207.044268258","245514.559033167","256056.581414588","253221.762097937","261856.010650182","264939.022066026","276842.591594655","280285.432834393","295128.62148145","303949.69759019","306993.184718702","315394.473070783","315393.75468569","332170.649722826","343850.886645155","355159.397749409","364624.689624297","369257.160823351","372537.123844101","383353.773102836","395683.983860389","410592.275297226","423911.554739749","422031.84611352","440732.100040904","437120.067197008","439959.502941399","",
