"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20532251248.2202","20818348220.3161","21612846115.4846","22227208393.5157","23372936738.7951","24139107034.4317","25215540492.6056","26687005743.7542","28331768359.6817","27525751769.1169","27182493708.6473","27221361239.863","26990545456.1025","27769606683.1682","27955103821.5533","29123864200","29907732968.4239","30573740022.8583","31825292400.9946","32882375697.9747","31762286231.0993","33840356107.7095","35268140072.1552","36330087614.6685","",
"Belarus","BLR","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61865528383.5178","61123144747.9835","55255322063.8445","51055916537.6146","44920379202.1164","40272464424.7585","41469155503.9739","46083252498.7457","49948326940.5231","51880656682.0274","54706172188.6084","57309181843.3292","60258970517.1375","64663369124.2397","71951112880.9388","78872417594.1918","86420794652.8043","93383904783.5894","102506962513","101981344603.376","110015899643.417","116927731065.785","117556435897.712","117209143050.69","119745163420.359","113682591761.83","110414364917.594","114271274633.704","117898130137.016","120382752527.037","118136477518.193","121380073976.954","115048021083.982","120503950269.833","",
"Belize","BLZ","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","914765249.19631","927737399.981441","909970118.190351","888481836.284147","899205150.497569","902254337.615448","961137991.940779","1067718150.29469","1174380038.10438","1318279487.09717","1480645454.54545","1654223345.36703","1853752446.48318","1960198516.94915","1938028504.42225","1965168437.76316","1979189005.68182","2080274175.27127","2140429256.52174","2327153438.28151","2592628734.12655","2689660077.33671","2846984854.98737","3085770097.62724","3184936678.58135","3277811159.61285","3423115910.95438","3480255854.54254","3413955344.45275","3563226296.28291","3506662301.96532","3589994378.83145","3685226973.14038","3869767381.76578","4000901400","4204363861.65629","4176615334.62865","4070723580.22903","4059982866.85255","4231841224.65076","3806263648.11695","4468550684.31772","4824659893.66306","4929080068.77698","",
"Bermuda","BMU","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6479848840.22418","6518450457.72245","6440188123.40714","6743952168.46298","6650340596.72668","6542410427.19943","6190942357.84163","6610578216.14732","7103944167.52727","","",
"Bolivia","BOL","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","14261109426.259","14832443152.7518","15008516794.835","14843362323.4155","14367044078.9651","14359574384.3186","13650823902.064","13171188773.5341","13156092133.7143","12858779505.9927","12423055456.3821","12913236153.0793","13391173625.0188","13943294064.0865","14654415138","15527138780.7516","15968854392.2297","16646507600.8589","17515651555.0189","18326281380.1173","19169686295.5619","20183007543.6113","21317459271.7839","21313050446.4783","21783645533.9598","22169899649.8564","22715183341.481","23047498118.3867","23822447650.8038","24989446683.1456","26281429807.9972","27415032768.3988","29244593945.0723","30054615005.3518","31013264632.2367","32741337512.8087","33638465326.1157","35872336136.975","38407457404.3737","41151119220.68","43595103533.2977","44879576408.9174","47022462469.7549","48255676505.5641","44450061927.8763","46483753219.4238","48005276524.1572","49533633283.0861","",
"Brazil","BRA","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","782499378986.242","871257673141.854","975288872304.538","1111524261424.92","1202157268165.65","1264268515650.33","1393946174968.11","1462728052357.32","1535424140031.4","1639212057905.15","1790019567232.42","1713943735625.05","1633402454503.25","1598562911729.44","1666335730127.24","1804234553787.49","1957710273842.32","2041864510917.37","2036110739487.97","2303466172951.52","2038450709311.69","2067891258403.49","2063636833979.53","2153467192670.98","2246956479755.98","2400382954564.8","2454750441924.05","2529958149643.92","2527904572443.99","2514800969971.54","2630753912727.47","2657919332805.13","2735963254190.56","2772457237021.03","2938071156721.85","3034591754268.4","3166439214154.14","3371260949738","3531009153931.29","3535079777167","3765812330193.89","3935634851833.44","4014913463854.69","4182759763962.27","4184051829976.69","4035859784774.07","3894307755523.73","3955404680919.1","3988948270062.72","4042101846051.88","3933155177106.96","4075913256344.43","4213160452864.99","4323990689860.18","",
"Barbados","BRB","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16221990455.5341","16694156827.6549","16173195827.3758","16070714399.2128","16230253950.1907","16448923159.1874","16444430094.7075","17487655728.9667","16323474599.9946","17018972546.6787","17610326743.7932","17868504790.0841","18576354728.5151","19242025197.2082","19262140510.206","19261384434.8395","20050795443.3354","19384695741.5058","18621229352.7296","18268078111.2607","18553043725.7458","18767043099.5512","19000949804.7761","18905637393.852","18651457248.4065","19492843600.5807","19316790613.6559","19404345984.3689","18503900711.0254","19606765510.5814","19839672903.1969","19130393733.3357","18197354904.3263","19220245292.0311","",
"Bhutan","BTN","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31420594225.8025","30554583900.4044","31109083014.8625","32197300952.7434","34653306292.8749","35279191957.1925","37764637611.8683","40796446452.2304","40465931084.0336","42494702689.5891","52311161056.5068","56177647649.2158","61188541097.7245","65499607425.688","68837866089.1062","74230053977.1925","79187911195.8089","91053985932.7614","94018392185.3885","99975750023.635","110299602494.521","118919617185.832","123210523222.648","126530678980.259","133713772717.341","142404194210.44","152400767323.016","154893905177.555","159958605975.972","169591086699.601","156300937984.239","163528130968.249","173313114372.084","","",
"Botswana","BWA","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","11959744816","13233143900","14822714451","16947224703","19006073366","20688262608.0326","23667200364.2421","26424637611.9506","28946547300.9477","30378669248.0925","32309898875.6442","35014962679.3413","37773196652.9999","47134904646.6264","52738213809.1278","58676154197.7813","64914982563.8985","67285449353.4361","70551672150.9465","67416777984.3131","74400736118.8904","76079638546.2471","83882514863.2255","87471279693.2698","91139617249.7543","92127130571.4793","94857287464.703","93735638049.946","100648320238.365","102324544620.278","108253718303.531","119655098247.151","128499437395.078","130726768551.862","116007925843.675","124403361872.738","136718538210.878","139536313969.539","146386322040.791","156646550625.671","148612499085.002","150350087290.622","157519246094.964","163350786056.975","184259424973.26","167950157012.421","188064038502.087","198327018954.153","203863677759.537","",
