"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahamas, The","BHS","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32019.2790665664","30638.3704278525","28826.0333205786","27918.0944879374","27151.937036076","27508.9845403223","32262.7196195412","35242.3453731394","29140.1608956875","29887.9746493895","32035.2041596598","32891.0720638477","33129.1550946142","33697.6335009737","33024.015147718","32992.0617020164","33582.6715968561","33908.9012592683","33880.2911018251","33194.4692353096","31150.2092244181","30988.5804798796","30835.9906032593","31388.3267575888","30137.0793642722","30074.2887935186","30015.8950085817","29342.9668973085","30059.1556807982","29997.9661357779","30008.5424177437","23409.0748883029","26754.9613729185","29706.0065082242","30779.0086971275","",
"Bosnia and Herzegovina","BIH","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4935.90903158376","4981.13579393117","5160.65802153022","5319.39357364209","5644.29126167146","5892.62743386397","6205.72299678821","6649.43592896095","7177.06208206462","7094.6425941988","7131.75741777645","7274.94141582817","7354.14562333709","7690.58184857625","7841.91999715928","8277.25588532292","8611.49068066566","8917.05326503254","9396.30717478436","9828.74050202903","9626.83433340921","10428.7599329378","11004.7797249737","11406.3594820805","",
"Belarus","BLR","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6071.58852396815","5995.96281634713","5408.45537292671","4986.39195409873","4392.35131103211","3950.67020679061","4081.78294807328","4554.83643911906","4959.14519746777","5174.23080986333","5481.79459804626","5772.16085082817","6108.02061042504","6600.49258424807","7394.65912237481","8161.53883743719","8997.55111574067","9767.2172202488","10758.5142622496","10729.7021450995","11600.3587201864","12358.0789367962","12444.0009223948","12412.0008597382","12673.4374047518","12015.8205855053","11660.1484550987","12080.7070008967","12490.8163642901","12779.813719953","12594.5716479351","13047.9940765878","12467.1798780029","13129.2261669683","",
"Belize","BLZ","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","6306.02948529808","6235.38101690643","5965.13961631979","5684.57383240975","5618.48710665548","5508.40275474034","5736.28795457452","6231.6482642186","6703.84768868811","7360.29014553967","8087.59998331542","8844.22233408377","9706.37410912584","10057.3545522835","9734.09194725312","9626.28921342156","9410.81739185877","9566.85418573473","9505.71008301057","9985.25454190361","10766.7753359713","10828.85460259","11120.6436296668","11698.2716567869","11722.772734097","11717.7258137741","11890.8562340796","11753.6503024064","11216.7963190184","11398.1660971131","10949.9361487777","10968.5802505101","11019.9542278146","11327.4635253238","11466.4307024759","11798.9741664575","11452.0374950402","10907.5609997509","10677.8149491422","10968.1781946167","9739.37250677294","11302.8857869252","11979.797765922","11989.8032837686","",
"Bermuda","BMU","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101998.281733133","102710.99296802","101501.806543951","106073.675932917","104186.689801612","102054.540490109","96159.522193185","102254.95322589","109715.11787869","","",
"Bolivia","BOL","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","2713.04485464442","2757.38714007929","2726.77714412177","2636.07891517168","2494.75491482142","2438.74126384526","2268.2991511696","2141.98410383606","2094.29617650582","2004.11607614069","1895.93212834137","1929.60603061901","1959.0604860705","1997.10131563941","2055.27675858349","2132.76406757363","2149.14297176194","2196.34243489697","2266.71692405454","2327.24259132912","2389.7179233475","2471.0155050394","2564.2305984516","2519.33087431062","2531.12019390851","2532.91081209994","2552.16599129821","2546.48790904424","2588.19044330145","2669.59762890315","2760.16469430972","2830.3888069328","2968.73571267318","3000.57805974294","3045.78804118665","3163.74163092709","3198.84772762715","3358.012962469","3540.2206571193","3736.01646350765","3899.376166885","3956.03439851247","4085.93663930063","4134.5283675447","3761.75839219","3893.97263879315","3974.88319881963","4045.49085674942","",
"Brazil","BRA","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","8204.39358244844","8914.10020148046","9738.59276102997","10833.4667442629","11439.347092525","11747.5713235816","12647.7072660963","12958.7975051025","13282.1075111256","13846.9394286863","14768.2292200842","13815.0957963261","12869.2235432002","12316.526414646","12561.0583407924","13313.8518396166","14151.8118036661","14470.5384023778","14156.7288635975","15722.9996190898","13667.7394273","13629.2726879708","13376.3459876726","13734.3218998638","14108.2874147255","14841.4497241721","14949.5270132746","15180.205002303","14943.8976595453","14651.4703026851","15117.6869607727","15076.0135925172","15327.226073585","15349.4406916424","16083.5848187722","16430.9001924731","16964.2996144631","17879.7107865764","18548.4015208205","18404.2101154378","19441.2742796892","20153.3154754096","20393.0961631739","21074.1415310208","20911.3585437897","20011.6481397162","19163.1920938097","19322.6092551549","19353.7493570531","19484.1912839319","18849.512632116","19450.7637214025","20033.4376526983","20479.1880294217","",
"Barbados","BRB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63542.8860110544","63573.5381637759","59936.4651787762","58023.0941117041","57130.4756229191","56487.6565847195","55131.5898520414","57272.5435790369","52254.3483201645","53282.3620560303","53949.2400797527","53603.6382429138","54620.4332518328","55510.5923407144","54580.7314314544","53665.4382497284","54984.4526133318","52267.7459440449","49289.5033860595","47455.4700618798","47289.1421697588","46989.3840329884","46851.4901845514","45976.521013643","44754.5464868783","46168.3789200228","45178.7115230839","44837.3415663881","42264.682650066","44291.0578986659","44343.977486113","42350.0207724141","39961.6902833439","41878.8259524067","",
"Bhutan","BTN","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53319.6799281208","50942.6458531811","53842.9957299264","58047.3557442735","62495.0293561099","64379.3797999459","68815.1214537382","73020.7007595","71063.3014901326","72942.3866798994","87643.497848764","91974.7863423933","97994.3291940451","102718.218597736","105815.849641387","112152.861954013","118050.13304404","134171.065309584","136982.960883554","144059.767638108","157204.349993331","167639.516344387","171774.892646582","174459.381474643","182385.294899523","192277.522569583","203780.847535542","205338.351233279","210538.612870623","221738.709428053","202986.649434211","210883.768184144","221936.236732962","","",
